sale_id,customer_id,product_id,store_id,employee_id,campaign_id,sale_date,quantity,unit_price,discount,payment_method
1,1495,84,13,134,44,2024-09-06,4,265.85,0.0,cash
2,874,80,10,85,29,2022-08-11,4,17.06,0.05,cash
3,1767,49,5,80,45,2023-09-01,2,30.89,0.05,cash
4,1344,99,19,41,21,2022-12-04,4,136.7,0.05,credit_card
5,378,95,11,38,47,2023-04-03,5,53.24,0.0,credit_card
6,1969,59,14,78,29,2023-06-20,3,25.15,0.15,paypal
7,270,79,6,7,49,2023-12-07,2,39.59,0.0,paypal
8,1222,81,8,60,44,2024-03-18,5,43.76,0.05,credit_card
9,275,93,17,121,46,2024-08-24,3,249.26,0.15,paypal
10,971,18,5,42,13,2022-08-28,2,326.19,0.15,cash
11,1896,20,9,106,15,2024-06-04,1,72.95,0.0,cash
12,1776,10,20,126,45,2022-11-14,2,26.68,0.15,paypal
13,830,25,2,98,47,2024-10-28,4,68.05,0.15,paypal
14,1067,13,4,116,30,2023-09-18,4,126.4,0.0,credit_card
15,1506,80,2,143,25,2022-10-13,2,18.06,0.15,credit_card
16,1812,31,10,74,30,2022-10-06,2,332.48,0.15,cash
17,1414,61,17,37,30,2024-06-06,4,201.95,0.0,bank_transfer
18,369,28,19,140,9,2024-04-28,1,333.92,0.0,bank_transfer
19,367,11,15,52,30,2023-11-01,4,200.05,0.0,credit_card
20,1472,25,4,24,8,2024-03-04,3,60.93,0.05,bank_transfer
21,1489,40,17,41,25,2022-07-17,3,137.0,0.15,bank_transfer
22,1159,14,5,42,10,2023-05-05,1,111.23,0.1,cash
23,1496,90,15,74,41,2024-06-22,1,336.99,0.1,cash
24,8,53,20,65,1,2024-07-31,1,403.27,0.05,bank_transfer
25,1246,25,16,61,14,2023-04-26,4,67.64,0.0,bank_transfer
26,1232,78,20,2,16,2022-07-24,4,157.96,0.0,paypal
27,101,28,6,38,4,2022-07-10,5,327.9,0.05,paypal
28,1367,12,19,77,22,2022-03-18,1,287.7,0.0,credit_card
29,331,90,10,147,36,2022-03-02,1,315.71,0.05,cash
30,1908,17,2,24,50,2022-09-27,4,208.46,0.1,paypal
31,1680,10,3,110,36,2024-09-13,3,28.45,0.15,credit_card
32,1423,86,9,85,34,2023-05-29,3,318.84,0.0,bank_transfer
33,1254,31,2,28,37,2023-08-01,5,326.84,0.05,credit_card
34,875,43,20,82,17,2023-06-29,4,99.8,0.1,paypal
35,1065,99,16,127,12,2022-05-04,2,127.21,0.15,cash
36,243,74,1,120,41,2023-06-21,3,137.8,0.0,credit_card
37,848,60,2,86,23,2024-09-07,2,27.39,0.15,cash
38,522,30,3,79,20,2022-12-24,1,254.96,0.1,paypal
39,700,82,13,146,40,2023-09-27,1,59.36,0.1,credit_card
40,1889,40,16,122,3,2023-09-04,2,140.25,0.1,cash
41,1827,48,18,86,30,2024-09-28,4,200.8,0.15,bank_transfer
42,1158,8,11,143,35,2022-09-24,1,125.5,0.1,credit_card
43,1638,36,12,17,10,2022-06-13,2,277.94,0.1,paypal
44,1284,14,18,43,37,2024-06-08,1,102.17,0.15,bank_transfer
45,1445,72,11,9,18,2024-04-04,2,250.6,0.1,bank_transfer
46,762,65,15,78,14,2022-04-18,1,78.12,0.05,paypal
47,1593,88,7,24,29,2024-05-18,2,78.38,0.0,credit_card
48,390,53,11,124,47,2023-03-11,4,403.75,0.05,paypal
49,1684,26,17,34,14,2024-05-15,3,147.28,0.0,credit_card
50,9,65,10,12,44,2024-08-02,4,76.41,0.0,credit_card
51,212,85,17,80,2,2023-08-24,3,17.47,0.0,paypal
52,587,90,9,137,21,2022-07-09,2,330.23,0.05,bank_transfer
53,561,53,4,4,40,2024-08-25,1,356.52,0.05,credit_card
54,556,7,5,73,37,2022-10-18,2,70.02,0.1,cash
55,1108,88,15,13,9,2023-08-30,2,77.68,0.1,credit_card
56,217,20,13,14,6,2023-10-27,4,80.3,0.0,bank_transfer
57,1263,90,12,80,22,2024-10-26,4,320.51,0.15,cash
58,1163,23,5,24,45,2024-08-26,5,138.29,0.15,bank_transfer
59,964,71,8,58,10,2023-07-22,1,11.99,0.15,paypal
60,1616,80,11,117,32,2023-07-08,3,17.6,0.1,credit_card
61,981,49,15,44,19,2023-09-15,1,29.83,0.1,paypal
62,831,30,4,84,36,2023-01-18,5,251.69,0.0,credit_card
63,1210,40,14,62,40,2022-08-19,3,150.37,0.15,cash
64,787,13,3,88,14,2024-03-21,5,115.21,0.15,bank_transfer
65,1116,32,8,45,43,2024-02-11,4,165.83,0.1,credit_card
66,1213,75,20,119,21,2023-02-12,5,205.92,0.0,credit_card
67,143,15,20,28,44,2023-07-18,4,207.3,0.15,bank_transfer
68,186,46,7,36,38,2022-07-22,3,82.59,0.0,credit_card
69,1089,75,10,100,40,2023-11-29,2,199.14,0.15,bank_transfer
70,614,67,19,78,28,2023-03-08,2,177.52,0.1,paypal
71,1736,39,5,76,4,2022-03-08,1,251.09,0.15,paypal
72,1441,16,18,92,8,2024-07-06,5,90.54,0.0,paypal
73,1281,43,11,98,26,2024-04-01,1,90.46,0.15,bank_transfer
74,973,21,5,49,36,2024-12-28,4,43.49,0.05,bank_transfer
75,591,100,5,35,1,2024-04-21,3,106.49,0.05,credit_card
76,1348,8,14,35,6,2022-08-10,1,109.25,0.15,cash
77,1277,75,6,117,33,2022-11-01,4,206.83,0.15,bank_transfer
78,728,44,8,48,28,2022-11-27,5,159.35,0.15,credit_card
79,1459,67,17,69,27,2024-10-07,5,188.55,0.05,paypal
80,1444,49,12,29,38,2023-12-08,1,32.85,0.15,bank_transfer
81,953,8,17,21,34,2024-06-11,1,109.2,0.1,credit_card
82,1401,34,18,149,20,2024-07-25,2,82.45,0.0,credit_card
83,961,4,15,132,31,2023-09-21,3,203.23,0.0,paypal
84,593,32,6,10,45,2022-04-30,4,158.82,0.1,paypal
85,1185,24,6,147,4,2022-03-14,5,26.78,0.15,paypal
86,169,68,5,130,5,2024-07-03,5,59.54,0.15,paypal
87,564,80,9,4,48,2022-06-28,3,16.67,0.1,credit_card
88,1350,36,15,95,12,2022-08-19,5,255.89,0.05,paypal
89,703,59,3,38,39,2024-03-08,2,23.3,0.0,cash
90,1578,95,13,61,43,2024-09-10,4,55.56,0.15,bank_transfer
91,112,21,9,30,4,2024-08-08,2,40.61,0.1,cash
92,976,3,18,60,25,2022-01-26,4,104.64,0.1,bank_transfer
93,25,35,10,115,25,2022-06-13,4,68.57,0.15,paypal
94,200,16,18,91,28,2023-09-25,5,85.82,0.0,paypal
95,523,73,19,101,30,2024-05-03,3,152.7,0.0,cash
96,1388,45,6,81,36,2024-03-10,5,63.26,0.1,credit_card
97,843,67,4,135,7,2023-10-05,1,201.13,0.0,bank_transfer
98,516,51,7,9,2,2023-01-17,3,78.38,0.1,credit_card
99,1947,45,20,32,46,2022-01-27,1,65.27,0.05,credit_card
100,770,31,19,48,8,2022-11-28,1,371.7,0.05,cash
101,1309,56,15,71,50,2023-06-08,3,102.15,0.0,bank_transfer
102,568,12,2,98,25,2023-12-17,3,294.63,0.0,paypal
103,365,99,15,18,32,2024-03-15,1,118.36,0.1,cash
104,223,35,5,139,50,2022-07-31,5,70.44,0.15,bank_transfer
105,1870,8,15,67,7,2023-11-02,2,120.3,0.0,credit_card
106,1592,100,15,5,32,2022-08-03,1,91.14,0.1,cash
107,546,46,5,85,26,2022-01-06,1,89.84,0.15,credit_card
108,980,35,14,104,47,2023-04-01,5,74.98,0.15,credit_card
109,1955,28,16,32,37,2023-05-30,5,302.15,0.15,paypal
110,114,33,3,94,35,2022-08-19,3,383.47,0.15,paypal
111,1327,81,7,46,36,2023-10-12,1,46.13,0.1,credit_card
112,1426,53,13,28,41,2022-04-12,4,385.51,0.1,paypal
113,1506,62,7,36,3,2024-11-25,4,286.36,0.15,cash
114,1002,9,13,17,35,2022-06-08,1,302.4,0.05,paypal
115,1980,19,1,10,22,2022-02-23,4,90.78,0.15,credit_card
116,831,44,4,55,42,2022-06-15,3,158.38,0.0,bank_transfer
117,1895,44,3,10,48,2022-06-16,5,139.25,0.05,cash
118,1858,80,20,12,16,2022-08-15,4,18.54,0.15,cash
119,1853,10,10,25,30,2022-05-10,1,27.3,0.0,cash
120,234,12,16,57,5,2024-01-23,5,282.66,0.0,cash
121,665,52,4,148,35,2024-02-06,4,296.42,0.15,cash
122,1566,75,2,45,22,2023-05-20,3,205.91,0.05,credit_card
123,345,75,12,142,11,2023-05-26,1,184.21,0.15,bank_transfer
124,274,42,4,97,50,2023-12-24,2,156.68,0.0,cash
125,14,18,1,46,6,2022-02-28,1,327.87,0.0,paypal
126,1418,22,5,53,10,2023-10-26,4,97.4,0.15,paypal
127,1922,35,6,10,39,2024-03-27,5,71.28,0.05,cash
128,1285,44,10,90,27,2022-04-08,4,153.12,0.0,credit_card
129,1086,61,4,93,49,2022-05-04,5,199.47,0.0,cash
130,567,22,2,50,8,2023-03-17,4,98.84,0.05,cash
131,1373,38,2,14,42,2022-05-22,4,181.75,0.05,paypal
132,685,71,20,117,3,2022-07-17,3,11.4,0.1,credit_card
133,324,72,1,125,33,2022-05-13,1,266.82,0.05,credit_card
134,1214,78,19,84,27,2024-03-01,1,173.56,0.15,cash
135,668,95,8,26,16,2023-05-04,3,50.03,0.0,bank_transfer
136,151,42,16,150,32,2024-03-02,2,140.8,0.05,credit_card
137,365,51,13,96,9,2023-12-26,4,77.14,0.15,bank_transfer
138,415,67,11,33,3,2024-10-10,2,193.6,0.1,credit_card
139,940,75,14,44,49,2024-04-12,3,178.9,0.15,paypal
140,1617,45,20,44,37,2024-10-17,2,64.65,0.05,cash
141,1766,44,7,122,30,2022-08-05,1,147.12,0.15,paypal
142,508,94,11,112,38,2023-11-14,1,138.54,0.05,cash
143,856,5,2,11,31,2024-03-10,5,166.8,0.0,credit_card
144,1659,64,4,116,32,2022-02-10,4,94.52,0.15,cash
145,1420,40,14,56,9,2023-09-19,1,151.14,0.0,paypal
146,33,82,16,79,11,2023-04-18,3,60.97,0.0,bank_transfer
147,2000,91,15,119,50,2023-01-05,5,190.91,0.0,cash
148,1284,51,15,1,41,2023-08-11,4,77.81,0.1,credit_card
149,1088,63,2,76,28,2023-12-25,4,208.32,0.1,paypal
150,1614,12,3,86,48,2023-05-14,5,312.29,0.05,credit_card
151,1819,38,2,29,25,2024-08-18,5,198.04,0.1,paypal
152,751,79,6,144,46,2024-06-07,4,38.39,0.1,credit_card
153,284,14,11,62,35,2024-04-30,5,109.99,0.05,credit_card
154,1543,99,8,83,23,2022-04-24,4,130.27,0.05,paypal
155,112,24,3,96,23,2024-04-16,5,29.14,0.1,bank_transfer
156,963,69,18,137,19,2022-11-05,4,264.0,0.0,bank_transfer
157,386,62,15,23,6,2022-04-21,5,304.05,0.0,bank_transfer
158,224,9,6,71,8,2022-11-08,2,277.41,0.0,cash
159,1067,2,1,76,27,2024-05-14,4,41.67,0.05,cash
160,1511,6,1,75,13,2024-01-18,4,196.87,0.15,credit_card
161,1710,98,17,86,27,2023-11-16,1,187.54,0.05,paypal
162,938,56,10,146,9,2022-06-03,3,106.23,0.15,paypal
163,992,61,12,74,50,2023-01-05,2,222.79,0.05,credit_card
164,1959,49,6,42,46,2022-01-10,2,29.1,0.15,paypal
165,331,20,8,30,3,2023-12-30,2,81.34,0.05,paypal
166,758,68,6,53,36,2024-12-11,5,60.85,0.1,credit_card
167,764,22,15,139,11,2022-06-14,3,102.73,0.05,paypal
168,1907,42,16,38,30,2022-11-10,1,156.53,0.15,paypal
169,1326,16,10,122,19,2022-05-22,2,74.58,0.1,cash
170,694,24,4,123,3,2024-07-08,5,29.42,0.15,cash
171,823,95,20,57,29,2023-10-10,5,48.84,0.0,paypal
172,1195,29,17,57,50,2024-02-07,1,39.96,0.05,paypal
173,1387,91,3,132,26,2023-02-06,2,164.54,0.15,cash
174,1861,13,12,102,10,2024-11-25,4,119.13,0.0,bank_transfer
175,583,73,12,90,20,2024-03-01,3,156.4,0.0,bank_transfer
176,1519,46,14,114,19,2024-07-08,5,75.86,0.15,cash
177,286,51,19,23,10,2022-03-14,4,86.84,0.15,cash
178,136,58,19,97,6,2024-03-23,3,191.71,0.1,credit_card
179,849,23,6,143,30,2023-12-19,4,155.21,0.1,cash
180,593,73,18,126,3,2024-05-31,2,150.0,0.15,paypal
181,460,80,1,1,10,2022-08-24,5,17.28,0.15,paypal
182,255,2,10,107,12,2024-01-01,3,48.89,0.15,bank_transfer
183,1010,13,3,93,38,2023-10-15,2,111.98,0.1,bank_transfer
184,1287,94,16,31,24,2022-05-21,5,130.76,0.1,credit_card
185,300,90,11,119,45,2024-01-31,3,319.41,0.0,cash
186,740,58,14,92,4,2023-06-28,3,179.71,0.1,paypal
187,1053,83,7,47,49,2022-01-19,3,272.17,0.0,credit_card
188,1787,27,11,78,18,2022-04-17,5,219.57,0.1,paypal
189,1687,49,5,4,9,2024-11-26,1,30.19,0.1,paypal
190,697,24,6,27,14,2022-05-10,3,29.7,0.15,cash
191,1629,91,18,135,35,2022-10-29,5,171.76,0.05,credit_card
192,239,90,5,5,31,2023-04-10,4,339.79,0.0,paypal
193,1674,66,15,134,49,2023-01-29,3,189.96,0.05,paypal
194,1525,10,4,57,9,2022-12-24,2,30.45,0.0,cash
195,267,76,3,109,45,2023-02-06,2,230.57,0.05,credit_card
196,1552,77,14,11,13,2022-12-03,1,240.07,0.15,credit_card
197,961,72,4,65,3,2024-10-08,1,260.33,0.0,credit_card
198,1603,48,4,53,38,2022-08-21,3,222.89,0.0,cash
199,186,16,5,72,38,2022-01-30,2,85.61,0.0,paypal
200,1035,58,19,18,7,2024-10-27,3,179.61,0.05,credit_card
201,1975,67,10,44,49,2024-08-30,5,177.94,0.05,credit_card
202,751,69,19,48,29,2024-05-02,1,286.31,0.15,credit_card
203,869,5,7,132,15,2022-01-29,2,163.38,0.15,bank_transfer
204,254,21,15,29,34,2024-12-20,1,45.35,0.1,cash
205,1142,53,2,22,21,2024-10-15,4,393.09,0.1,bank_transfer
206,1230,15,10,114,15,2023-04-08,1,216.55,0.15,bank_transfer
207,387,10,3,122,44,2023-02-01,3,32.05,0.15,paypal
208,1377,68,4,102,29,2022-06-27,2,59.35,0.15,credit_card
209,1424,58,19,27,48,2022-09-10,1,178.95,0.15,cash
210,694,49,7,104,8,2023-06-26,1,29.16,0.05,cash
211,1567,24,19,70,49,2022-03-08,4,29.4,0.1,bank_transfer
212,993,73,17,72,10,2023-10-18,3,159.28,0.15,bank_transfer
213,1019,79,8,35,2,2022-03-09,1,34.67,0.15,credit_card
214,1389,54,1,46,25,2024-02-27,1,142.36,0.15,paypal
215,1557,22,3,134,50,2024-11-21,2,90.07,0.0,bank_transfer
216,1005,92,17,67,35,2023-04-18,4,228.65,0.15,paypal
217,882,100,4,99,29,2024-08-01,5,100.64,0.0,paypal
218,68,89,6,143,43,2022-01-25,4,82.8,0.0,paypal
219,640,65,13,125,49,2022-09-07,2,78.04,0.05,credit_card
220,975,7,18,41,33,2022-05-19,5,71.86,0.15,credit_card
221,1264,42,12,73,21,2022-11-05,4,137.56,0.15,credit_card
222,1715,79,12,90,48,2023-12-13,1,38.18,0.05,credit_card
223,707,26,12,106,23,2024-09-13,3,154.8,0.15,credit_card
224,1214,43,3,17,20,2023-01-10,2,90.7,0.1,credit_card
225,77,15,15,109,37,2022-10-13,3,207.02,0.1,bank_transfer
226,1205,95,1,82,25,2024-08-04,3,47.82,0.15,bank_transfer
227,205,29,7,87,32,2024-06-25,3,42.0,0.15,paypal
228,1986,43,14,52,32,2024-01-20,2,97.71,0.1,credit_card
229,98,16,10,147,26,2023-12-05,5,78.06,0.1,cash
230,1470,27,19,25,38,2022-08-31,5,219.16,0.0,paypal
231,875,94,7,89,5,2024-02-17,3,120.99,0.15,paypal
232,1359,72,18,81,13,2022-11-09,5,260.88,0.15,bank_transfer
233,1376,35,18,47,2,2022-10-01,4,68.41,0.15,cash
234,549,71,18,112,37,2022-05-17,5,12.1,0.15,credit_card
235,303,87,8,39,48,2023-11-06,5,46.53,0.15,paypal
236,1299,49,7,106,18,2024-09-21,4,29.44,0.0,paypal
237,832,53,8,30,10,2023-03-21,2,355.31,0.05,cash
238,951,20,16,144,28,2023-06-28,1,70.53,0.1,bank_transfer
239,280,20,1,67,18,2024-09-28,1,69.88,0.1,cash
240,1603,39,1,15,6,2023-12-02,1,269.91,0.15,paypal
241,1845,67,14,94,43,2023-02-08,5,181.0,0.0,credit_card
242,484,23,4,147,48,2024-09-04,4,164.41,0.05,credit_card
243,1017,9,3,61,39,2022-12-04,5,299.18,0.1,credit_card
244,1651,41,8,109,14,2022-03-13,3,69.34,0.15,cash
245,901,46,14,66,38,2023-04-30,1,77.31,0.1,credit_card
246,649,36,18,109,31,2024-01-12,4,275.53,0.0,cash
247,744,29,16,95,20,2024-12-28,3,44.54,0.05,credit_card
248,1415,21,8,65,36,2023-02-12,5,39.09,0.0,bank_transfer
249,1850,54,4,137,16,2023-04-11,3,137.25,0.1,bank_transfer
250,1900,93,9,78,6,2022-07-08,4,245.36,0.15,cash
251,1876,46,15,82,50,2022-09-27,3,77.89,0.05,bank_transfer
252,1686,2,16,121,48,2023-06-10,1,42.78,0.0,bank_transfer
253,1689,38,6,67,33,2022-04-27,3,189.75,0.0,credit_card
254,929,58,1,14,42,2024-07-05,3,189.64,0.1,cash
255,7,42,13,52,41,2022-10-02,4,152.79,0.05,paypal
256,324,33,8,133,46,2023-04-21,3,375.62,0.0,cash
257,925,11,16,35,17,2022-05-02,5,215.07,0.1,cash
258,407,86,3,107,24,2023-08-31,5,341.67,0.1,cash
259,43,16,1,143,42,2024-04-22,4,89.02,0.05,cash
260,537,60,6,13,26,2024-05-22,1,28.29,0.05,bank_transfer
261,1963,23,12,44,37,2023-07-18,5,143.78,0.0,credit_card
262,1584,14,15,127,8,2022-02-12,1,110.19,0.15,cash
263,590,26,16,98,9,2022-01-30,2,148.77,0.1,bank_transfer
264,1489,27,7,108,12,2024-09-25,2,213.19,0.1,bank_transfer
265,483,82,20,116,16,2024-05-17,2,58.27,0.1,paypal
266,176,7,1,121,9,2023-08-30,5,71.99,0.15,paypal
267,1451,82,14,66,5,2022-04-20,4,66.73,0.15,credit_card
268,1907,44,8,121,23,2023-03-13,5,136.54,0.1,credit_card
269,620,47,13,95,9,2024-04-15,1,35.1,0.15,credit_card
270,1032,8,16,87,30,2022-04-09,5,110.08,0.05,cash
271,291,30,9,30,21,2022-06-27,1,238.93,0.15,credit_card
272,1532,1,12,111,19,2023-07-20,2,14.03,0.1,paypal
273,1059,17,11,112,11,2023-08-20,5,211.65,0.1,paypal
274,1139,29,15,14,13,2023-07-20,4,43.58,0.05,cash
275,964,47,9,42,46,2024-06-08,1,34.93,0.0,bank_transfer
276,84,90,15,92,46,2024-01-04,4,316.2,0.15,bank_transfer
277,254,83,12,24,14,2023-05-06,4,270.19,0.05,paypal
278,1154,33,19,55,38,2022-06-12,2,394.8,0.1,credit_card
279,853,95,3,64,50,2022-02-03,5,55.71,0.05,bank_transfer
280,583,98,4,101,24,2024-02-28,1,188.08,0.0,credit_card
281,943,14,16,117,41,2024-12-02,3,98.26,0.0,paypal
282,1987,75,2,116,21,2024-02-11,5,199.03,0.1,cash
283,662,98,2,19,36,2023-05-23,2,187.24,0.1,bank_transfer
284,492,89,13,23,2,2022-08-03,1,82.07,0.05,cash
285,584,61,5,31,20,2022-02-16,2,205.91,0.15,bank_transfer
286,1851,68,20,34,23,2023-05-11,4,68.86,0.1,credit_card
287,913,14,13,122,18,2022-09-27,3,105.84,0.15,bank_transfer
288,1258,10,6,112,41,2023-05-21,1,30.72,0.1,bank_transfer
289,1994,25,15,58,42,2022-09-08,1,57.35,0.1,cash
290,596,66,15,112,6,2022-03-29,4,183.97,0.0,bank_transfer
291,1402,92,10,64,34,2022-02-22,3,226.05,0.05,bank_transfer
292,1879,64,2,132,7,2024-08-10,3,95.23,0.0,bank_transfer
293,728,3,9,150,6,2023-01-31,4,98.14,0.1,credit_card
294,368,40,6,101,3,2023-08-05,1,156.58,0.15,credit_card
295,643,9,19,117,49,2022-10-29,4,311.5,0.1,bank_transfer
296,1980,3,6,55,12,2022-11-25,5,113.38,0.1,credit_card
297,889,25,18,5,1,2024-05-27,5,60.11,0.0,bank_transfer
298,943,66,13,125,20,2022-07-11,1,165.16,0.15,paypal
299,257,55,5,4,13,2024-02-10,4,47.3,0.0,credit_card
300,1760,52,1,54,31,2022-01-28,1,318.4,0.05,cash
301,177,93,10,119,10,2023-09-11,2,268.65,0.05,bank_transfer
302,1849,44,5,114,32,2022-07-18,4,135.44,0.05,bank_transfer
303,413,18,10,146,26,2023-08-06,1,326.66,0.05,credit_card
304,852,80,16,149,39,2023-08-02,3,16.22,0.15,paypal
305,1052,72,19,125,15,2023-01-25,1,245.31,0.15,credit_card
306,1134,20,3,69,42,2023-04-12,5,67.16,0.1,bank_transfer
